id,rpp,name
1001,111.4827202,"Montgomery, AL (Metropolitan Statistical Area)"
1003,108.3423619,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)"
1005,120.3369434,Alabama (Nonmetropolitan Portion)
1007,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1009,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1011,120.3369434,Alabama (Nonmetropolitan Portion)
1013,120.3369434,Alabama (Nonmetropolitan Portion)
1015,118.2033097,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)"
1017,120.3369434,Alabama (Nonmetropolitan Portion)
1019,120.3369434,Alabama (Nonmetropolitan Portion)
1021,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1023,120.3369434,Alabama (Nonmetropolitan Portion)
1025,120.3369434,Alabama (Nonmetropolitan Portion)
1027,120.3369434,Alabama (Nonmetropolitan Portion)
1029,120.3369434,Alabama (Nonmetropolitan Portion)
1031,120.3369434,Alabama (Nonmetropolitan Portion)
1033,118.4834123,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)"
1035,120.3369434,Alabama (Nonmetropolitan Portion)
1037,120.3369434,Alabama (Nonmetropolitan Portion)
1039,120.3369434,Alabama (Nonmetropolitan Portion)
1041,120.3369434,Alabama (Nonmetropolitan Portion)
1043,120.3369434,Alabama (Nonmetropolitan Portion)
1045,120.3369434,Alabama (Nonmetropolitan Portion)
1047,120.3369434,Alabama (Nonmetropolitan Portion)
1049,120.3369434,Alabama (Nonmetropolitan Portion)
1051,111.4827202,"Montgomery, AL (Metropolitan Statistical Area)"
1053,120.3369434,Alabama (Nonmetropolitan Portion)
1055,117.7856302,"Gadsden, AL (Metropolitan Statistical Area)"
1057,120.3369434,Alabama (Nonmetropolitan Portion)
1059,120.3369434,Alabama (Nonmetropolitan Portion)
1061,117.0960187,"Dothan, AL (Metropolitan Statistical Area)"
1063,120.3369434,Alabama (Nonmetropolitan Portion)
1065,113.2502831,"Tuscaloosa, AL (Metropolitan Statistical Area)"
1067,117.0960187,"Dothan, AL (Metropolitan Statistical Area)"
1069,117.0960187,"Dothan, AL (Metropolitan Statistical Area)"
1071,120.3369434,Alabama (Nonmetropolitan Portion)
1073,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1075,120.3369434,Alabama (Nonmetropolitan Portion)
1077,118.4834123,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)"
1079,114.8105626,"Decatur, AL (Metropolitan Statistical Area)"
1081,116.5501166,"Auburn-Opelika, AL (Metropolitan Statistical Area)"
1083,110.2535832,"Huntsville, AL (Metropolitan Statistical Area)"
1085,111.4827202,"Montgomery, AL (Metropolitan Statistical Area)"
1087,120.3369434,Alabama (Nonmetropolitan Portion)
1089,110.2535832,"Huntsville, AL (Metropolitan Statistical Area)"
1091,120.3369434,Alabama (Nonmetropolitan Portion)
1093,120.3369434,Alabama (Nonmetropolitan Portion)
1095,120.3369434,Alabama (Nonmetropolitan Portion)
1097,112.8668172,"Mobile, AL (Metropolitan Statistical Area)"
1099,120.3369434,Alabama (Nonmetropolitan Portion)
1101,111.4827202,"Montgomery, AL (Metropolitan Statistical Area)"
1103,114.8105626,"Decatur, AL (Metropolitan Statistical Area)"
1105,120.3369434,Alabama (Nonmetropolitan Portion)
1107,113.2502831,"Tuscaloosa, AL (Metropolitan Statistical Area)"
1109,120.3369434,Alabama (Nonmetropolitan Portion)
1111,120.3369434,Alabama (Nonmetropolitan Portion)
1113,111.7318436,"Columbus, GA-AL (Metropolitan Statistical Area)"
1115,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1117,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1119,120.3369434,Alabama (Nonmetropolitan Portion)
1121,120.3369434,Alabama (Nonmetropolitan Portion)
1123,120.3369434,Alabama (Nonmetropolitan Portion)
1125,113.2502831,"Tuscaloosa, AL (Metropolitan Statistical Area)"
1127,111.2347052,"Birmingham-Hoover, AL (Metropolitan Statistical Area)"
1129,120.3369434,Alabama (Nonmetropolitan Portion)
1131,120.3369434,Alabama (Nonmetropolitan Portion)
1133,120.3369434,Alabama (Nonmetropolitan Portion)
2013,101.3171226,Alaska (Nonmetropolitan Portion)
2016,101.3171226,Alaska (Nonmetropolitan Portion)
2020,91.24087591,"Anchorage, AK (Metropolitan Statistical Area)"
2050,101.3171226,Alaska (Nonmetropolitan Portion)
2060,101.3171226,Alaska (Nonmetropolitan Portion)
2068,101.3171226,Alaska (Nonmetropolitan Portion)
2070,101.3171226,Alaska (Nonmetropolitan Portion)
2090,94.51795841,"Fairbanks, AK (Metropolitan Statistical Area)"
2100,101.3171226,Alaska (Nonmetropolitan Portion)
2105,101.3171226,Alaska (Nonmetropolitan Portion)
2110,101.3171226,Alaska (Nonmetropolitan Portion)
2122,101.3171226,Alaska (Nonmetropolitan Portion)
2130,101.3171226,Alaska (Nonmetropolitan Portion)
