state,FIPS,county,value,percent
AL,1001,Autauga County,820.8251473,0.003236223
AL,1003,Baldwin County,1391.68251,0.00524258
AL,1005,Barbour County,1013.043478,0.00371156
AL,1007,Bibb County,615.9292035,0.001834258
AL,1009,Blount County,854.6153846,0.003146759
AL,1011,Bullock County,908.5106383,0.003425097
AL,1013,Butler County,887.2340426,0.002561866
AL,1015,Calhoun County,1020.827943,0.003662043
AL,1017,Chambers County,917.5609756,0.003617983
AL,1019,Cherokee County,1142.857143,0.004030054
AL,1021,Chilton County,918.9781022,0.003241883
AL,1023,Choctaw County,645.1219512,0.002209239
AL,1025,Clarke County,836.5853659,0.002844638
AL,1027,Clay County,754.6666667,0.002388317
AL,1029,Cleburne County,959.3406593,0.003356453
AL,1031,Coffee County,1208.421053,0.004020882
AL,1033,Colbert County,1008.624709,0.00369542
AL,1035,Conecuh County,884,0.002523422
AL,1037,Coosa County,810.4166667,0.002361268
AL,1039,Covington County,872.4137931,0.002573795
AL,1041,Crenshaw County,833.3333333,0.002251155
AL,1043,Cullman County,896.9034608,0.002977117
AL,1045,Dale County,969.6153846,0.002847864
AL,1047,Dallas County,977.4509804,0.003236509
AL,1049,DeKalb County,971.7105263,0.002764634
AL,1051,Elmore County,865.3164557,0.003507436
AL,1053,Escambia County,1014.948454,0.00315509
AL,1055,Etowah County,986.8247694,0.003955932
AL,1057,Fayette County,676.25,0.002032627
AL,1059,Franklin County,894.6666667,0.002675369
AL,1061,Geneva County,828.4482759,0.002310268
AL,1063,Greene County,857.1428571,0.003418057
AL,1065,Hale County,663.6363636,0.002087649
AL,1067,Henry County,1050,0.003624314
AL,1069,Houston County,1218.148148,0.004242138
AL,1071,Jackson County,949.4661922,0.002792138
AL,1073,Jefferson County,2393.755633,0.009368315
AL,1075,Lamar County,600,0.001769414
AL,1077,Lauderdale County,1189.875173,0.00424239
AL,1079,Lawrence County,677.7777778,0.002254212
AL,1081,Lee County,1525,0.006763113
AL,1083,Limestone County,1143.360996,0.004841992
AL,1085,Lowndes County,962.7118644,0.003198721
AL,1087,Macon County,898.2300885,0.003766234
AL,1089,Madison County,1528.885536,0.006315135
AL,1091,Marengo County,811.71875,0.002752012
AL,1093,Marion County,696.9465649,0.002058745
AL,1095,Marshall County,1135.830619,0.003865432
AL,1097,Mobile County,1417.263158,0.005368723
AL,1099,Monroe County,787.9310345,0.002268435
AL,1101,Montgomery County,1152.228682,0.004581617
AL,1103,Morgan County,978.1310212,0.003775287
AL,1105,Perry County,751.3513514,0.002416677
AL,1107,Pickens County,836.8421053,0.002612433
AL,1109,Pike County,944.6428571,0.002894765
AL,1111,Randolph County,1095.901639,0.003660316
AL,1113,Russell County,1003.825137,0.004111607
AL,1115,St. Clair County,852.9342723,0.003840373
AL,1117,Shelby County,1741.289934,0.007849814
AL,1119,Sumter County,812.5,0.003126503
AL,1121,Talladega County,881.9734345,0.003327551
AL,1123,Tallapoosa County,1300.711744,0.004591876
AL,1125,Tuscaloosa County,1174.749722,0.00466507
AL,1127,Walker County,881.0026385,0.002870214
AL,1129,Washington County,687.7192982,0.002372687
AL,1131,Wilcox County,1019.148936,0.003009304
AL,1133,Winston County,927.2727273,0.002798857
AK,2013,Aleutians East Borou,0,0
AK,2016,Aleutians West Censu,3423.529412,0.004259149
AK,2020,Anchorage Municipali,5115.015806,0.016304111
AK,2050,Bethel Census Area,2809.090909,0.001163281
AK,2060,Bristol Bay Borough,2033.333333,0.002054564
AK,2068,Denali Borough,3216.666667,0.002453442
AK,2070,Dillingham Census Ar,3766.666667,0.004401211
AK,2090,Fairbanks North Star,4008.535032,0.00965875
AK,2100,Haines Borough,3111.111111,0.00778827
AK,2105,Hoonah-Angoon Census,3400,0.002264754
AK,2110,Juneau City and Boro,4267.574257,0.01369554
AK,2122,Kenai Peninsula Boro,2844.061303,0.007564594
AK,2130,Ketchikan Gateway Bo,3055.905512,0.008558412
AK,2150,Kodiak Island Boroug,4097.6,0.012101652
AK,2158,Kusilvak Census Area,0,0
AK,2164,Lake and Peninsula B,0,0
AK,2170,Matanuska-Susitna Bo,3749.954338,0.013121495
AK,2180,Nome Census Area,2861.904762,0.003117446
AK,2185,North Slope Borough,3576.470588,0.00286986
AK,2188,Northwest Arctic Bor,2983.333333,0.00134448
AK,2195,Petersburg Census Ar,3178.571429,0.00890882
AK,2198,Prince of Wales-Hyde,2480,0.002127952
AK,2220,Sitka City and Borou,2864,0.007166904
AK,2230,Skagway Municipality,1660,0.003538767
AK,2240,Southeast Fairbanks,2850,0.001500608
AK,2261,Valdez-Cordova Censu,3569.69697,0.007363996
AK,2275,Wrangell City and Bo,2564.285714,0.006078873
AK,2282,Yakutat City and Bor,0,0
AK,2290,Yukon-Koyukuk Census,3220,0.001556503
AZ,4001,Apache County,1322.058824,0.001973417
AZ,4003,Cochise County,2253.025937,0.009516908
AZ,4005,Coconino County,2435.822081,0.009464601
AZ,4007,Gila County,2338.559322,0.011349732
AZ,4009,Graham County,1660.69869,0.00713396
AZ,4011,Greenlee County,1038.709677,0.001551344
AZ,4012,La Paz County,2602.597403,0.008564835
AZ,4013,Maricopa County,2698.287185,0.011156802
AZ,4015,Mohave County,2052.792208,0.009441231
AZ,4017,Navajo County,1857.894737,0.006967871
AZ,4019,Pima County,3202.11106,0.014392027
AZ,4021,Pinal County,2105.343048,0.010273057
AZ,4023,Santa Cruz County,2861.702128,0.009611697
AZ,4025,Yavapai County,2536.474052,0.013155355
AZ,4027,Yuma County,2088.487973,0.007125889
AR,5001,Arkansas County,1461.764706,0.003843259
AR,5003,Ashley County,960.3773585,0.002797095
AR,5005,Baxter County,1582.432432,0.005643333
AR,5007,Benton County,2420.458493,0.006694218
AR,5009,Boone County,1513.636364,0.005274123
