county,state,value,name
1000,1,122.5490196,Alabama 
1001,1,112.2334456,"Montgomery, AL "
1003,1,109.5290252,"Daphne-Fairhope-Foley, AL "
1005,1,122.5490196,Alabama 
1007,1,112.6126126,"Birmingham-Hoover, AL "
1009,1,112.6126126,"Birmingham-Hoover, AL "
1011,1,122.5490196,Alabama 
1013,1,122.5490196,Alabama 
1015,1,119.3317422,"Anniston-Oxford-Jacksonville, AL "
1017,1,122.5490196,Alabama 
1019,1,122.5490196,Alabama 
1021,1,112.6126126,"Birmingham-Hoover, AL "
1023,1,122.5490196,Alabama 
1025,1,122.5490196,Alabama 
1027,1,122.5490196,Alabama 
1029,1,122.5490196,Alabama 
1031,1,122.5490196,Alabama 
1033,1,118.7648456,"Florence-Muscle Shoals, AL "
1035,1,122.5490196,Alabama 
1037,1,122.5490196,Alabama 
1039,1,122.5490196,Alabama 
1041,1,122.5490196,Alabama 
1043,1,122.5490196,Alabama 
1045,1,122.5490196,Alabama 
1047,1,122.5490196,Alabama 
1049,1,122.5490196,Alabama 
1051,1,112.2334456,"Montgomery, AL "
1053,1,122.5490196,Alabama 
1055,1,120.0480192,"Gadsden, AL "
1057,1,122.5490196,Alabama 
1059,1,122.5490196,Alabama 
1061,1,118.9060642,"Dothan, AL "
1063,1,122.5490196,Alabama 
1065,1,113.1221719,"Tuscaloosa, AL "
1067,1,118.9060642,"Dothan, AL "
1069,1,118.9060642,"Dothan, AL "
1071,1,122.5490196,Alabama 
1073,1,112.6126126,"Birmingham-Hoover, AL "
1075,1,122.5490196,Alabama 
1077,1,118.7648456,"Florence-Muscle Shoals, AL "
1079,1,118.623962,"Decatur, AL "
1081,1,118.2033097,"Auburn-Opelika, AL "
1083,1,111.8568233,"Huntsville, AL "
1085,1,112.2334456,"Montgomery, AL "
1087,1,122.5490196,Alabama 
1089,1,111.8568233,"Huntsville, AL "
1091,1,122.5490196,Alabama 
1093,1,122.5490196,Alabama 
1095,1,122.5490196,Alabama 
1097,1,114.416476,"Mobile, AL "
1099,1,122.5490196,Alabama 
1101,1,112.2334456,"Montgomery, AL "
1103,1,118.623962,"Decatur, AL "
1105,1,122.5490196,Alabama 
1107,1,113.1221719,"Tuscaloosa, AL "
1109,1,122.5490196,Alabama 
1111,1,122.5490196,Alabama 
1113,1,111.9820829,"Columbus, GA-AL "
1115,1,112.6126126,"Birmingham-Hoover, AL "
1117,1,112.6126126,"Birmingham-Hoover, AL "
1119,1,122.5490196,Alabama 
1121,1,122.5490196,Alabama 
1123,1,122.5490196,Alabama 
1125,1,113.1221719,"Tuscaloosa, AL "
1127,1,112.6126126,"Birmingham-Hoover, AL "
1129,1,122.5490196,Alabama 
1131,1,122.5490196,Alabama 
1133,1,122.5490196,Alabama 
2000,2,100.8064516,Alaska 
2013,2,100.8064516,Alaska 
2016,2,100.8064516,Alaska 
2020,2,91.57509158,"Anchorage, AK "
2050,2,100.8064516,Alaska 
2060,2,100.8064516,Alaska 
2068,2,100.8064516,Alaska 
2070,2,100.8064516,Alaska 
2090,2,93.80863039,"Fairbanks, AK "
2100,2,100.8064516,Alaska 
2105,2,100.8064516,Alaska 
2110,2,100.8064516,Alaska 
2122,2,100.8064516,Alaska 
2130,2,100.8064516,Alaska 
2150,2,100.8064516,Alaska 
2158,2,100.8064516,Alaska 
2164,2,100.8064516,Alaska 
2170,2,91.57509158,"Anchorage, AK "
2180,2,100.8064516,Alaska 
2185,2,100.8064516,Alaska 
2188,2,100.8064516,Alaska 
2198,2,100.8064516,Alaska 
2201,2,100.8064516,Alaska 
2275,2,100.8064516,Alaska 
2220,2,100.8064516,Alaska 
2231,2,100.8064516,Alaska 
2232,2,100.8064516,Alaska 
2240,2,100.8064516,Alaska 
2261,2,100.8064516,Alaska 
2270,2,100.8064516,Alaska 
2280,2,100.8064516,Alaska 
2282,2,100.8064516,Alaska 
2290,2,100.8064516,Alaska 
4000,4,115.4734411,Arizona 
4001,4,115.4734411,Arizona 
4003,4,111.6071429,"Sierra Vista-Douglas, AZ "
4005,4,102.0408163,"Flagstaff, AZ "
4007,4,115.4734411,Arizona 
4009,4,115.4734411,Arizona 
4011,4,115.4734411,Arizona 
4012,4,115.4734411,Arizona 
4013,4,102.9866117,"Phoenix-Mesa-Scottsdale, AZ "
4015,4,108.9324619,"Lake Havasu City-Kingman, AZ "
4017,4,115.4734411,Arizona 
4019,4,104.3841336,"Tucson, AZ "
4021,4,102.9866117,"Phoenix-Mesa-Scottsdale, AZ "
4023,4,115.4734411,Arizona 
4025,4,104.6025105,"Prescott, AZ "
4027,4,109.4091904,"Yuma, AZ "
5000,5,119.760479,Arkansas 
5001,5,119.760479,Arkansas 
5003,5,119.760479,Arkansas 
5005,5,119.760479,Arkansas 
5007,5,111.7318436,"Fayetteville-Springdale-Rogers, AR-MO "
5009,5,119.760479,Arkansas 
5011,5,119.760479,Arkansas 
5013,5,119.760479,Arkansas 
5015,5,119.760479,Arkansas 
5017,5,119.760479,Arkansas 
5019,5,119.760479,Arkansas 
5021,5,119.760479,Arkansas 
5023,5,119.760479,Arkansas 
5025,5,120.6272618,"Pine Bluff, AR "
5027,5,119.760479,Arkansas 
5029,5,119.760479,Arkansas 
5031,5,122.2493888,"Jonesboro, AR "
5033,5,118.2033097,"Fort Smith, AR-OK "
5035,5,109.8901099,"Memphis, TN-MS-AR "
5037,5,119.760479,Arkansas 
5039,5,119.760479,Arkansas 
5041,5,119.760479,Arkansas 
5043,5,119.760479,Arkansas 
5045,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5047,5,119.760479,Arkansas 
5049,5,119.760479,Arkansas 
5051,5,117.370892,"Hot Springs, AR "
5053,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5055,5,119.760479,Arkansas 
5057,5,119.760479,Arkansas 
5059,5,119.760479,Arkansas 
5061,5,119.760479,Arkansas 
5063,5,119.760479,Arkansas 
5065,5,119.760479,Arkansas 
5067,5,119.760479,Arkansas 
5069,5,120.6272618,"Pine Bluff, AR "
5071,5,119.760479,Arkansas 
5073,5,119.760479,Arkansas 
5075,5,119.760479,Arkansas 
5077,5,119.760479,Arkansas 
5079,5,120.6272618,"Pine Bluff, AR "
5081,5,114.1552511,"Texarkana, TX-AR "
5083,5,119.760479,Arkansas 
5085,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5087,5,111.7318436,"Fayetteville-Springdale-Rogers, AR-MO "
5089,5,119.760479,Arkansas 
5091,5,114.1552511,"Texarkana, TX-AR "
5093,5,119.760479,Arkansas 
5095,5,119.760479,Arkansas 
5097,5,119.760479,Arkansas 
5099,5,119.760479,Arkansas 
5101,5,119.760479,Arkansas 
5103,5,119.760479,Arkansas 
5105,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5107,5,119.760479,Arkansas 
5109,5,119.760479,Arkansas 
5111,5,122.2493888,"Jonesboro, AR "
5113,5,119.760479,Arkansas 
5115,5,119.760479,Arkansas 
5117,5,119.760479,Arkansas 
5119,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5121,5,119.760479,Arkansas 
5123,5,119.760479,Arkansas 
5125,5,110.4972376,"Little Rock-North Little Rock-Conway, AR "
5127,5,119.760479,Arkansas 
5129,5,119.760479,Arkansas 
5131,5,118.2033097,"Fort Smith, AR-OK "
5133,5,119.760479,Arkansas 
5135,5,119.760479,Arkansas 
5137,5,119.760479,Arkansas 
5139,5,119.760479,Arkansas 
5141,5,119.760479,Arkansas 
5143,5,111.7318436,"Fayetteville-Springdale-Rogers, AR-MO "
5145,5,119.760479,Arkansas 
5147,5,119.760479,Arkansas 
5149,5,119.760479,Arkansas 
6000,6,103.626943,California 
6001,6,80.19246191,"San Francisco-Oakland-Hayward, CA "
6003,6,103.626943,California 
6005,6,103.626943,California 
6007,6,101.010101,"Chico, CA "
6009,6,103.626943,California 
6011,6,103.626943,California 
6013,6,80.19246191,"San Francisco-Oakland-Hayward, CA "
6015,6,103.626943,California 
6017,6,98.03921569,"Sacramento--Roseville--Arden-Arcade, CA "
6019,6,103.8421599,"Fresno, CA "
6021,6,103.626943,California 
6023,6,103.626943,California 
6025,6,111.9820829,"El Centro, CA "
6027,6,103.626943,California 
6029,6,103.4126163,"Bakersfield, CA "
6031,6,106.2699256,"Hanford-Corcoran, CA "
6033,6,103.626943,California 
6035,6,103.626943,California 
6037,6,84.9617672,"Los Angeles-Long Beach-Anaheim, CA "
6039,6,105.5966209,"Madera, CA "
6041,6,80.19246191,"San Francisco-Oakland-Hayward, CA "
6043,6,103.626943,California 
6045,6,103.626943,California 
6047,6,106.2699256,"Merced, CA "
6049,6,103.626943,California 
6051,6,103.626943,California 
6053,6,92.50693802,"Salinas, CA "
6055,6,82.03445447,"Napa, CA "
6057,6,103.626943,California 
6059,6,84.9617672,"Los Angeles-Long Beach-Anaheim, CA "
6061,6,98.03921569,"Sacramento--Roseville--Arden-Arcade, CA "
6063,6,103.626943,California 
6065,6,93.10986965,"Riverside-San Bernardino-Ontario, CA "
